firm_size,industry_tech,digital_invest,process_eff,roe_improvement
243.89,1,4.91,1.11,2.63
129.25,0,2.42,0.24,1.94
283.64,0,4.7,3.55,2.29
680.64,1,4.05,1.37,2.83
117.43,1,5.85,1.88,3.86
117.43,0,1.33,1.2,0.24
719.97,0,2.78,2.57,2.63
319.72,0,4.88,3.16,1.99
92.81,0,2.48,2.23,0.9
255.33,0,2.35,0.42,0.91
93.37,0,0.0,-1.42,-2.01
93.16,0,3.59,3.29,0.33
189.04,0,3.48,1.42,-0.34
21.91,1,9.35,4.42,4.41
26.45,0,1.41,2.03,2.55
84.58,0,2.52,1.82,3.09
53.9,0,2.55,1.73,1.46
203.21,1,8.36,6.34,5.43
59.86,0,1.87,0.29,-1.52
36.15,0,2.59,2.22,0.44
642.68,1,6.86,3.49,3.27
118.42,1,5.49,3.01,2.9
158.78,1,4.27,3.66,3.5
35.7,0,2.42,1.72,0.32
86.11,0,4.23,2.65,-0.69
165.82,1,3.11,2.63,3.97
46.95,1,5.31,2.29,2.15
216.09,0,0.82,-0.43,0.27
81.4,0,4.47,1.19,2.88
110.86,0,0.0,-1.97,-1.53
81.31,1,3.96,4.04,1.2
946.03,0,3.7,0.75,0.74
146.42,0,5.28,2.42,2.42
51.54,0,1.92,0.68,2.37
337.83,0,1.23,0.92,-0.65
43.78,0,5.81,3.72,2.25
182.89,0,0.0,0.86,-0.08
20.91,1,0.62,-0.27,1.86
39.32,0,2.92,1.29,3.34
180.7,0,1.18,0.87,-1.02
310.59,0,0.27,-0.11,0.39
176.16,0,3.59,3.4,2.0
132.2,0,2.62,1.8,1.97
109.83,0,0.98,1.23,0.65
33.83,0,0.0,0.66,0.55
72.25,0,3.82,3.08,1.0
93.63,0,3.39,1.88,1.23
427.14,1,5.23,1.32,2.74
209.27,0,5.9,3.35,2.34
25.46,1,2.89,0.79,2.14
205.22,0,0.0,-0.53,0.3
100.98,1,3.72,2.44,3.15
75.42,1,4.98,3.73,4.83
273.6,0,2.76,1.4,0.78
416.13,0,1.93,1.28,-0.98
376.64,0,3.08,3.24,2.8
64.12,0,0.0,0.24,-0.79
108.94,1,8.0,6.6,4.28
206.7,1,5.04,3.09,2.96
393.68,1,7.63,2.05,4.88
91.91,0,2.78,2.14,-1.14
123.27,1,6.04,3.4,6.84
49.09,1,6.19,4.38,5.07
44.87,0,2.94,2.14,1.21
334.46,0,3.62,1.67,0.97
576.08,1,8.23,2.89,4.22
138.1,0,2.53,1.06,1.15
404.86,1,6.82,2.56,4.26
213.07,0,2.03,0.44,0.97
77.86,1,7.96,4.57,4.32
213.02,0,0.86,2.1,0.69
690.93,0,6.29,3.54,1.9
143.19,0,2.06,-0.16,-0.01
709.56,1,2.85,1.87,4.35
10.81,1,5.27,3.83,4.32
337.61,0,0.98,-0.12,-2.74
161.91,0,3.84,1.79,1.65
110.06,1,3.8,1.92,3.21
162.68,0,1.27,-0.15,0.11
20.34,1,1.24,1.27,2.15
119.14,0,1.21,0.49,1.45
212.11,0,0.0,0.42,1.2
650.6,0,0.0,-0.89,-0.75
88.39,0,3.61,1.37,1.2
66.12,1,6.64,4.04,2.97
89.86,0,2.94,1.1,-0.73
370.7,0,0.44,1.95,0.25
206.18,1,5.11,2.16,4.11
87.38,0,2.08,1.26,1.59
247.96,0,0.0,0.93,0.95
163.54,1,8.17,2.67,4.37
390.98,1,7.15,1.81,3.9
73.55,0,1.63,-0.71,-0.72
106.95,1,5.16,3.84,4.2
100.27,1,5.52,2.21,4.04
34.35,0,0.0,2.56,1.64
199.56,0,1.71,0.29,1.52
192.68,1,3.83,2.1,3.82
149.17,1,3.15,3.12,3.74
117.38,0,1.56,2.78,2.2
36.04,1,8.63,6.38,4.85
97.45,1,6.38,4.4,3.17
105.35,0,0.96,1.51,0.48
66.53,0,3.21,2.2,0.29
126.31,0,4.93,3.24,0.88
222.31,1,7.07,2.98,3.55
978.66,0,3.1,0.73,0.19
176.72,0,0.88,0.44,-0.0
192.01,1,6.59,3.12,1.79
137.77,1,5.92,2.51,3.61
21.79,0,3.81,2.6,1.2
144.53,1,6.41,4.16,3.18
157.63,0,4.26,2.22,1.83
1742.79,1,5.67,4.31,5.73
122.44,0,4.76,1.24,-0.75
200.65,0,2.6,1.1,-0.08
143.35,1,9.29,3.93,3.38
46.12,0,0.67,-1.53,-1.38
465.37,0,5.94,2.89,2.52
314.8,1,5.71,2.73,3.35
327.35,1,4.02,3.53,3.42
59.78,1,4.09,2.68,1.26
603.53,1,4.96,1.46,3.83
36.53,0,2.88,3.3,0.13
266.9,0,3.31,2.88,1.44
1326.71,0,2.18,1.67,1.68
55.12,0,2.01,0.78,1.81
84.24,1,9.37,3.72,2.75
163.96,0,5.62,2.44,-1.66
89.7,0,2.96,2.57,1.34
31.48,0,2.11,2.94,2.98
158.95,1,5.4,4.24,5.19
51.3,0,3.28,1.15,0.89
238.31,0,0.19,-1.02,-0.7
59.18,0,1.54,0.91,1.27
699.2,1,2.36,-0.59,1.37
67.81,0,2.87,1.76,1.34
107.55,1,6.4,3.05,4.11
334.79,1,4.37,1.72,4.16
43.34,0,5.19,1.0,3.54
186.32,1,2.73,1.88,3.34
548.48,1,2.62,0.78,2.24
29.74,1,5.48,1.57,2.96
178.51,0,4.27,-0.74,-1.59
192.46,0,5.56,2.75,0.78
324.35,1,4.41,3.98,3.46
43.08,0,4.2,3.76,1.11
39.63,1,4.96,2.02,3.26
250.12,1,4.9,1.85,2.32
199.73,1,6.97,3.95,5.12
190.66,0,3.5,0.75,0.63
209.86,0,0.0,0.3,0.2
75.19,1,8.03,4.78,3.98
187.21,1,7.95,5.2,4.65
198.95,0,0.95,0.37,1.13
72.65,1,5.86,2.73,2.57
958.89,1,6.95,2.6,3.26
238.37,0,2.76,0.55,0.22
45.09,0,0.94,0.25,-1.16
286.16,0,0.94,0.84,-0.32
56.0,0,2.0,1.92,0.36
326.06,0,4.67,1.53,1.93
472.76,1,6.56,4.77,4.65
65.32,0,1.32,0.39,0.47
388.92,0,3.93,1.94,2.02
224.25,0,0.0,-0.75,-0.28
337.67,0,4.64,-0.11,0.89
989.1,1,2.51,2.14,3.32
116.12,0,1.39,1.43,0.92
69.84,0,0.0,-0.28,-0.64
60.98,1,2.47,1.3,0.23
65.64,0,4.39,2.71,1.17
137.4,0,1.2,-0.96,1.26
208.75,0,2.9,0.92,1.58
195.72,0,2.1,1.85,1.86
339.4,0,3.29,0.39,1.8
150.36,0,2.3,1.45,0.84
634.94,0,0.07,-1.32,0.07
113.9,1,7.11,4.02,3.37
2253.34,0,3.27,1.6,1.61
277.46,0,0.0,-1.62,0.21
62.98,1,4.21,3.27,4.68
50.86,0,5.05,1.79,0.9
240.44,1,6.94,2.66,3.13
118.69,0,1.42,0.91,0.48
303.08,1,4.6,3.45,4.29
238.23,0,1.59,-0.22,-1.27
137.99,0,6.29,3.21,-0.63
63.64,0,2.83,1.84,0.33
32.63,1,5.89,3.64,2.5
94.96,0,4.16,2.25,0.64
349.46,0,2.83,1.05,0.61
183.85,0,1.67,0.01,-0.23
42.7,1,4.65,2.41,4.67
176.48,0,2.03,-0.06,0.56
218.18,1,5.14,-0.35,2.7
61.32,0,3.52,2.19,1.68
173.08,0,2.28,2.04,-0.18
157.31,0,3.62,-0.55,1.22
47.32,0,1.89,-0.07,0.08
212.25,0,2.37,1.8,1.58
260.03,0,0.0,2.06,-0.24
438.36,1,7.27,3.66,2.49
425.73,0,3.12,0.83,1.56
37.42,0,4.03,1.83,1.34
58.1,0,0.0,1.37,-0.41
248.4,0,6.43,2.57,0.64
248.09,0,1.97,0.19,1.47
248.4,0,4.46,1.75,-0.11
6993.47,0,6.91,2.5,6.54
262.67,1,6.49,3.37,2.89
462.0,1,3.36,3.3,4.26
385.29,0,1.14,0.89,0.26
284.69,0,6.11,2.8,2.19
108.28,1,4.73,2.07,2.59
317.02,0,2.75,-0.19,0.15
68.52,0,3.81,2.79,1.33
117.12,0,3.11,1.48,-0.19
91.34,1,5.39,2.52,4.07
161.08,1,5.89,6.14,4.13
1502.16,0,8.31,4.45,2.7
22.94,0,1.91,0.2,-0.76
294.79,0,2.7,0.92,-1.89
29.59,1,7.13,4.71,4.0
92.58,0,4.3,2.27,3.57
440.96,0,4.82,0.97,1.72
158.27,1,6.44,4.14,3.98
50.51,0,0.0,-0.67,-0.46
72.58,1,8.34,6.04,4.78
292.83,0,0.0,1.08,1.06
71.5,0,2.68,0.89,-0.63
184.28,0,0.68,1.62,1.81
155.33,1,5.03,2.58,4.07
77.35,1,5.73,3.72,4.48
1266.41,1,6.91,3.94,4.96
279.76,0,3.12,0.72,0.65
19.59,1,8.25,3.48,4.53
178.83,0,3.09,2.57,1.8
76.57,0,1.59,0.46,-0.03
348.08,1,7.28,3.23,3.28
67.19,0,4.45,1.27,0.92
132.33,0,0.0,0.42,1.76
245.92,0,3.44,3.78,0.45
352.75,0,3.76,0.81,-0.72
44.69,0,1.45,0.75,0.56
106.22,0,4.86,3.84,1.8
92.3,0,1.79,0.82,0.64
77.22,1,5.33,3.12,3.77
867.36,1,5.52,1.7,3.23
222.51,0,2.25,1.56,2.31
42.06,0,0.0,-0.19,-1.64
371.62,0,0.0,0.99,-0.31
1239.12,0,6.43,4.4,2.53
416.74,0,0.72,2.95,-0.37
32.48,1,3.05,2.1,2.8
91.45,0,0.0,0.33,1.82
526.85,0,1.25,0.82,0.66
73.14,0,0.0,-0.35,0.15
231.32,0,5.52,3.1,0.35
322.03,1,7.34,3.38,3.28
58.74,1,3.68,2.01,2.63
139.84,0,6.64,4.64,1.86
5.81,1,6.97,2.48,4.68
53.28,0,1.4,1.84,1.32
115.29,1,0.12,1.38,1.42
42.62,1,9.62,4.69,4.63
759.31,0,0.0,-2.12,0.16
35.51,0,0.0,-0.61,0.95
95.58,0,4.14,3.37,3.1
169.14,0,7.05,3.5,0.82
627.2,1,8.4,3.2,3.26
35.31,0,3.16,1.08,-0.62
474.93,0,3.66,2.67,1.21
149.94,1,6.86,3.98,4.44
55.62,1,6.57,3.05,4.58
235.59,0,2.8,1.03,0.62
181.1,0,2.39,0.8,0.23
81.43,0,1.96,0.06,0.37
159.14,0,0.65,1.94,-0.04
100.96,1,4.54,1.95,5.17
166.25,0,0.0,1.22,-1.11
287.76,0,2.09,2.57,1.37
724.89,0,0.75,1.37,2.91
43.04,0,0.0,-0.43,-0.12
1252.67,1,6.61,3.71,4.23
21.07,1,7.81,3.88,3.6
127.51,0,3.96,1.08,0.57
267.29,0,0.0,0.32,1.62
196.56,0,0.22,-1.07,-2.46
79.62,1,6.96,4.67,5.72
120.53,1,3.16,1.11,1.27
90.65,0,1.64,1.02,0.26
82.32,1,6.18,3.37,3.25
347.1,1,3.41,1.45,3.53
212.09,0,2.42,1.8,-0.69
74.22,1,2.41,0.73,2.94
364.89,0,1.16,1.45,2.79
201.8,0,2.84,0.07,-1.01
334.58,0,0.0,0.13,0.4
278.56,0,3.16,3.52,0.93
64.78,0,2.03,0.01,0.62
84.76,1,6.19,2.42,3.38
313.34,0,2.76,1.89,0.38
273.25,1,8.0,4.18,4.69
145.34,0,2.4,1.55,2.6
166.89,0,1.31,1.14,0.39
532.54,0,2.78,2.02,1.9
82.14,0,3.17,2.69,-0.08
256.49,1,5.35,3.09,2.65
121.24,0,2.2,0.86,1.0
119.38,0,0.72,1.03,1.95
445.31,0,1.12,2.46,1.5
338.8,1,2.53,1.13,2.44
334.79,1,8.83,3.44,4.04
547.56,1,3.06,2.64,2.16
151.56,0,0.77,0.26,0.83
293.52,0,0.86,-1.74,0.5
108.82,0,3.9,2.8,0.87
205.24,0,1.62,0.27,-0.15
130.3,0,4.63,2.22,1.46
163.53,0,0.82,0.74,-0.04
269.12,0,2.83,1.6,0.84
65.48,0,0.39,0.91,2.47
1202.78,1,10.49,4.81,4.83
54.27,0,0.0,0.51,-0.16
44.07,0,2.66,1.07,-0.05
472.53,1,6.74,4.11,4.92
327.56,0,3.16,2.19,0.98
277.03,1,4.91,1.52,2.4
278.2,0,2.02,2.1,2.33
146.61,0,2.23,0.58,1.87
60.51,1,4.77,3.19,2.9
160.1,1,7.09,3.91,2.11
75.4,1,9.5,6.59,6.04
393.52,0,1.28,0.42,-0.24
128.12,0,0.0,-0.35,0.74
65.01,0,1.89,0.92,-1.47
107.62,0,7.27,3.33,2.66
224.29,1,3.62,2.61,2.08
84.46,0,5.36,1.07,1.56
65.22,1,8.42,3.16,3.79
189.37,0,1.08,-0.53,-0.95
189.61,0,3.33,2.61,0.84
89.39,0,5.35,4.38,2.65
92.66,1,4.33,2.06,3.2
187.18,1,4.78,2.22,3.82
34.88,1,3.87,2.01,4.99
36.33,1,3.01,2.67,1.6
72.35,1,3.77,0.96,4.28
119.89,1,2.67,1.57,2.91
202.53,0,2.27,2.11,0.1
648.95,0,1.11,1.06,-0.56
349.9,0,2.82,1.6,0.75
126.48,1,2.01,2.01,3.83
145.62,1,5.81,0.2,2.48
54.46,0,3.72,2.54,2.7
145.69,1,1.16,-0.07,0.69
111.2,1,5.86,1.1,2.89
204.94,0,4.66,2.84,0.19
64.89,0,0.0,1.37,0.86
249.47,1,8.59,4.16,5.11
687.28,0,3.53,2.72,1.13
133.12,1,3.72,3.47,0.94
221.79,0,2.11,2.37,1.28
295.94,1,6.41,4.85,4.75
99.36,1,5.25,3.37,4.02
185.69,1,6.26,3.21,4.92
150.29,0,0.31,-1.45,-1.46
163.64,1,5.5,2.51,4.05
68.51,1,2.24,0.28,3.5
152.1,0,1.93,3.14,-0.48
244.2,1,3.44,1.54,3.24
633.43,0,1.16,0.7,0.15
387.33,0,4.86,2.98,1.51
1278.17,0,5.46,2.77,2.37
68.9,0,3.29,3.34,0.95
355.07,0,0.17,-0.54,-0.67
178.28,1,4.55,2.47,3.33
1325.84,0,5.75,2.13,0.76
66.14,1,5.35,1.35,1.84
64.09,0,6.7,2.74,2.18
81.5,0,2.87,1.4,-0.4
17.75,0,2.4,0.77,1.13
87.73,1,4.47,1.54,3.39
69.47,0,2.34,-0.24,-1.59
172.5,1,4.87,2.35,2.6
208.88,1,6.63,1.81,4.44
968.91,1,7.88,4.7,3.73
383.92,0,0.81,0.49,-0.04
83.35,0,0.0,-1.46,0.01
60.44,1,1.39,0.38,3.06
242.72,0,3.26,0.88,0.43
39.64,1,2.83,1.74,2.24
926.54,0,0.0,1.34,2.34
482.72,1,6.26,1.25,4.91
92.84,1,10.08,5.15,5.58
26.76,1,5.01,2.35,3.3
574.71,0,4.25,2.8,0.77
132.35,1,5.3,2.86,2.63
511.74,0,2.31,0.41,1.1
30.13,0,3.87,1.62,1.29
81.5,1,4.5,1.45,4.3
149.19,1,5.68,3.92,4.51
155.55,1,5.8,2.92,2.03
94.63,1,3.76,3.78,4.69
276.68,0,4.26,2.07,0.18
51.03,0,1.7,0.14,-0.17
128.72,1,3.62,0.29,2.7
167.38,0,3.24,-0.18,2.28
248.25,0,0.45,-1.36,2.81
302.36,0,2.36,1.45,1.44
48.2,0,2.03,1.52,0.52
32.0,0,4.2,0.52,1.06
532.55,0,3.48,2.64,2.33
206.92,0,2.16,0.6,0.16
70.21,0,3.71,2.0,2.81
700.05,1,8.48,5.85,5.25
166.61,0,3.28,2.54,1.71
482.65,0,2.5,0.98,1.44
158.78,1,2.54,0.38,2.83
1165.32,0,1.04,-1.63,0.95
858.63,1,5.25,1.9,2.88
115.7,1,3.9,1.74,2.4
392.12,0,2.02,0.02,-0.74
282.98,0,2.4,1.07,1.14
583.26,1,6.64,3.4,4.76
56.55,1,4.92,2.23,3.64
294.73,0,3.27,0.98,2.42
427.7,1,5.56,2.95,3.65
25.57,0,0.0,0.44,0.83
45.46,1,3.17,0.49,1.35
19.31,0,1.73,2.28,0.54
113.36,1,2.69,1.25,3.39
304.16,1,6.5,3.27,4.63
666.71,1,8.73,5.07,4.46
159.83,0,4.6,2.53,1.24
756.43,0,2.33,2.12,-0.23
37.33,0,5.02,2.8,1.01
27.02,0,2.32,0.55,1.28
140.39,0,1.47,1.09,1.13
217.91,1,3.99,0.85,3.22
143.64,0,1.54,0.88,0.54
18.78,0,1.24,0.59,0.32
135.76,1,5.48,2.53,2.71
40.27,1,5.36,2.55,4.02
289.94,1,5.3,0.77,3.25
214.13,1,6.09,2.5,3.93
57.98,0,4.44,2.31,0.64
88.78,0,3.99,2.15,-1.06
51.46,1,2.08,0.01,3.29
139.4,1,0.03,1.28,2.03
385.73,0,4.25,1.26,0.1
55.38,1,2.32,2.13,3.63
245.68,0,1.8,1.33,0.33
87.33,0,0.0,-0.65,0.88
67.16,0,0.0,1.78,1.25
133.35,0,3.22,0.41,1.15
52.71,0,3.57,2.7,-0.13
85.32,0,0.93,1.47,1.83
44.8,1,0.0,-0.67,2.06
1058.62,0,1.97,2.38,1.13
153.74,0,2.94,1.22,0.87
73.72,1,2.12,1.35,0.89
183.82,1,5.55,3.04,3.98
132.64,1,5.1,2.42,2.27
118.99,1,6.28,3.95,2.55
274.28,1,5.51,3.55,2.26
316.56,0,0.37,-1.56,0.77
87.31,0,4.48,3.54,0.98
83.44,0,1.77,-0.78,1.45
112.72,0,2.06,2.06,0.39
14.85,0,0.15,1.2,-1.28
32.62,1,4.15,0.98,1.57
582.24,0,0.81,-0.0,1.59
768.91,0,2.42,0.11,0.46
115.7,0,5.54,2.55,0.82
264.16,1,2.52,0.95,2.82
202.6,0,0.0,0.78,0.87
3225.62,1,11.17,6.89,7.97
454.67,0,2.04,2.41,2.66
130.59,0,0.79,-0.17,-0.29
57.08,0,4.14,1.86,-0.33
29.77,1,3.82,0.23,1.98
181.9,0,5.83,2.11,1.54
69.66,1,6.43,4.18,3.01
35.79,0,1.06,2.15,-0.12
77.74,0,6.39,1.96,1.56
50.32,1,3.84,1.33,2.73
802.03,1,7.29,3.62,4.25
358.4,1,5.96,3.26,3.01
147.23,1,7.75,3.07,3.51
651.93,1,8.77,4.81,3.74
160.35,1,5.22,2.14,4.12
62.72,1,3.56,1.76,3.95
680.7,1,6.6,3.85,2.33
254.4,1,3.9,1.96,2.17
52.6,1,9.08,4.1,2.65
122.69,1,5.4,2.59,2.72
61.83,0,1.33,0.58,0.25
37.23,1,5.41,2.33,1.79
